"Scan_Results","04/13/2026 at 23:07:25 (GMT-0400)"
"neonray","1512 Bluebonnet Ln","","","","United States of America","78704"
"HD Moore","username","Manager"

"Launch Date","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile","Network","FQDN"
"04/13/2026 at 08:00:45 (GMT-0400)","4","4","Scheduled (default option profile)","Finished","scan/1776081645.76234","Qualys-VMDR-Lab (Scanner 14.16.11-1, Vulnerability Signatures 2.6.578-2)","01:17:21","Neonray Scan Daily","","10.114.128.21-10.114.128.23,10.114.128.32","","Initial Options","Neonray",""

"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","Category"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","82004","Open UDP Services List","Ig","1","","","","","","","","A port scanner was used to draw a map of all the UDP services on this host that can be accessed from the Internet.
 
Note that if the host is behind a firewall, there is a small chance that the list includes a few ports that are filtered or blocked by the firewall but are not actually open on the target host. This (false positive on UDP open ports) may happen when the firewall is configured to reject UDP packets for most (but not all) ports with an ICMP Port Unreachable packet. This may also happen when the firewall is configured to allow UDP packets for most (but not all) ports through and filter/block/drop UDP packets for only a few ports. Both cases are uncommon.","Unauthorized users can exploit this information to test vulnerabilities in each of the open services.","Shut down any unknown or unused service on the list.  If you have difficulty working out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).","","","Port	IANA Assigned Ports/Services	Description	Service Detected
1434	ms-sql-m	Microsoft-SQL-Monitor	mssql monitor","no","","TCP/IP"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","34011","Firewall Detected","Ig","1","","","","","","","","A packet filtering device protecting this IP was detected. This is likely to be a firewall or a router using access control lists (ACLs).","N/A","N/A","","","Some of the ports filtered by the firewall are: 2869.","no","","Firewall"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","82063","Host Uptime Based on TCP TimeStamp Option","Ig","2","","","","","","","","The TCP/IP stack on the host supports the TCP TimeStamp (kind 8) option. Typically the timestamp used is the host's uptime (since last reboot) in various units (e.g., one hundredth of second, one tenth of a second, etc.). Based on this, we can obtain the host's uptime. The result is given in the Result section below.
 
Some operating systems (e.g., MacOS, OpenBSD) use a non-zero, probably random, initial value for the timestamp. For these operating systems, the uptime obtained does not reflect the actual uptime of the host; the former is always larger than the latter.","N/A","N/A","","","Based on TCP timestamps obtained via port 80, the host's uptime is 6 days, 22 hours, and 46 minutes.
The TCP timestamps from the host are in units of 1 milliseconds.","no","","TCP/IP"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","82046","IP ID Values Randomness","Ig","1","","","","","","","","The values for the identification (ID) field in IP headers in IP packets from the host are analyzed to determine how random they are. The changes between subsequent ID values for either the network byte ordering or the host byte ordering, whichever is smaller, are displayed in the RESULT section along with the duration taken to send the probes. When incremental values are used, as is the case for TCP/IP implementation in many operating systems, these changes reflect the network load of the host at the time this test was conducted.
 
Please note that for reliability reasons only the network traffic from open TCP ports is analyzed.","N/A","N/A","","","IP ID changes observed (network order) for port 80: 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
Duration: 11 milli seconds","no","","TCP/IP"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","82045","Degree of Randomness of TCP Initial Sequence Numbers","Ig","1","","","","","","","","TCP Initial Sequence Numbers (ISNs) obtained in the SYNACK replies from the host are analyzed to determine how random they are. The average change between subsequent ISNs and the standard deviation from the average are displayed in the RESULT section. Also included is the degree of difficulty for exploitation of the TCP ISN generation scheme used by the host.","N/A","N/A","","","Average change between subsequent TCP initial sequence numbers is 764197469 with a standard deviation of 597807378. These TCP initial sequence numbers were triggered by TCP SYN probes sent to the host at an average rate of 1/(5132 microseconds). The degree of difficulty to exploit the TCP initial sequence number generation scheme is: hard.","no","","TCP/IP"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","82040","ICMP Replies Received","Ig","1","","","","","","","","ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
 
Listed in the ""Result"" section are the ICMP replies that we have received.","","","","","ICMP Reply Type	Triggered By	Additional Information
Echo (type=0 code=0)	Echo Request	Echo Reply
Unreachable (type=3 code=3)	UDP Port 12223	Port Unreachable
Time Stamp (type=14 code=0)	Time Stamp Request	12:03:19 GMT
Unreachable (type=3 code=3)	UDP Port 1038	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 9872	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 21	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 2801	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 161	Port Unreachable
Unreachable (type=3 code=2)	IP with High Protocol	Protocol Unreachable
Unreachable (type=3 code=3)	UDP Port 61466	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 15253	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 389	Port Unreachable
Unreachable (type=3 code=3)	UDP Port 2967	Port Unreachable","no","","TCP/IP"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","45426","Scan Activity per Port","Ig","1","","","","","","","","Scan activity per port is an estimate of the amount of internal process time the scanner engine spent scanning a particular TCP or UDP port. This information can be useful to determine the reason for long scan times. The individual time values represent internal process time, not elapsed time, and can be longer than the total scan time because of internal parallelism. High values are often caused by slowly responding services or services on which requests time out.","N/A","N/A","","","Protocol	Port	Time
TCP	80	 0:01:06
TCP	135	 0:01:05
UDP	1434	 0:00:14","no","","Information gathering"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","45039","Host Names Found","Ig","1","","","","","","","","The following host names were discovered for this computer using various methods such as DNS look up, NetBIOS query, and SQL server name query.","N/A","N/A","","","Host Name	Source
WIN2016-SPT01	MSSQL Monitor","no","","Information gathering"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","45038","Host Scan Time - Scanner","Ig","1","","","","","","","","The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.","N/A","N/A","","","Scan duration: 4268 seconds
Start time: Mon, Apr 13 2026, 12:03:45 GMT
End time: Mon, Apr 13 2026, 13:14:53 GMT","no","","Information gathering"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","45006","Traceroute","Ig","1","","","","","","","","Traceroute describes the path in realtime from the scanner to the remote host being contacted. It reports the IP addresses of all the routers in between.","","","","","Hops	IP	Round Trip Time	Probe	Port
1	192.168.0.1	0.18ms	ICMP	 
2	10.114.128.32	0.71ms	ICMP","no","","Information gathering"
